Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
UIHC,United Insurance Holdings Corp.,5.02,$216.26M,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/uihc,
UNFI,"United Natural Foods, Inc.",18.06,$990.41M,2019,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/unfi,
UBFO,United Security Bancshares,7.08,$120.2M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/ubfo,
USLM,"United States Lime & Minerals, Inc.",110.4,$621.64M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/uslm,
UTHR,United Therapeutics Corporation,135.54,$6.02B,1999,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/uthr,
UG,"United-Guardian, Inc.",15.3497,$70.52M,n/a,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/ug,
UNIT,Uniti Group Inc.,10.56,$2.46B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/unit,
UNTY,"Unity Bancorp, Inc.",18.58,$196.31M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/unty,
UBX,"Unity Biotechnology, Inc.",6.36,$336.53M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ubx,
OLED,Universal Display Corporation,224.31,$10.57B,n/a,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/oled,
UEIC,Universal Electronics Inc.,53.78,$739.46M,1993,Consumer Non-Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/ueic,
ULH,"Universal Logistics Holdings, Inc.",21.92,$590.06M,n/a,Transportation,Trucking Freight/Courier Services,https://old.nasdaq.com/symbol/ulh,
USAP,"Universal Stainless & Alloy Products, Inc.",6.9,$60.93M,1994,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/usap,
UVSP,Univest Financial Corporation,19.48,$570.12M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/uvsp,
TIGR,UP Fintech Holding Limited,6.24,$879.58M,2019,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/tigr,
UPLD,"Upland Software, Inc.",45.52,$1.34B,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/upld,
UPWK,Upwork Inc.,34.86,$4.26B,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/upwk,
UONE,"Urban One, Inc. ",5.37,$256.41M,n/a,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/uone,
UONEK,"Urban One, Inc. ",1.41,$67.32M,n/a,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/uonek,
URBN,"Urban Outfitters, Inc.",29.05,$2.84B,1993,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/urbn,
MYT,"Urban Tea, Inc.",1.8,$14.3M,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/myt,
URGN,UroGen Pharma Ltd.,20.5,$452.91M,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/urgn,
UROV,Urovant Sciences Ltd.,16.07,$509.76M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/urov,
ECOL,"US Ecology, Inc.",36.09,$1.14B,n/a,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/ecol,
ECOLW,"US Ecology, Inc.",6.25,n/a,n/a,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/ecolw,
USAT,"USA Technologies, Inc.",8.5,$554.68M,n/a,Miscellaneous,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/usat,
USAK,"USA Truck, Inc.",9.28,$81.3M,1992,Transportation,Trucking Freight/Courier Services,https://old.nasdaq.com/symbol/usak,
USIO,"Usio, Inc.",1.6,$39.62M,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/usio,
UTMD,"Utah Medical Products, Inc.",90.45,$329.27M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/utmd,
UTSI,UTStarcom Holdings Corp,1.07,$38.44M,2000,Capital Goods,Telecommunications Equipment,https://old.nasdaq.com/symbol/utsi,
UXIN,Uxin Limited,1.58,$539.45M,2018,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/uxin,
VCNX,"Vaccinex, Inc.",2.1,$47.01M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/vcnx,
